,User,Text,Date,Favorites,Retweets,Mentions,HashTags,Search Keywords
75,NurseForNYC,"6. We invited Darma and @bkdems to withdraw their challenge because of covid, but we knew @ambioch was more about power than values. 7. The @boenyc then ruled that actually @cuomo’s E.O. did not apply to our race at all. We had half the petitioning time, but not the reduction.",2020-06-29 19:20:01+00:00,1.0,24.0,@bkdems @BOENYC @cuomo,,covid
76,NurseForNYC,"4. This is me on the last day of petitioning. People were panicked, but I got signatures. I was very scared. CDC was still saying soap and sanitizer, no masks. The E.O. was a relief. Meant I only needed 135, 30% of 450. I could now focus on covid response ",2020-06-29 19:18:09+00:00,1.0,25.0,,,covid
77,NurseForNYC,3. Covid hit and on March 14th Gov issued an Exec Order reducing signature requirements to 30% of the threshold. We then stopped volunteers from petitioning. Many were scared and went to be with their families. Reminder: People were dying!,2020-06-29 19:17:21+00:00,1.0,27.0,,,covid
78,Mrdan1els,Strength development is essential during the off-season. Thank to COVID-19 my nephew has plenty of time to put that work. . . #strengthdevelopment #strengthtraining… https://www.instagram.com/p/CCB7_-NhvAq/?igshid=ybg6csmgwna6,2020-06-29 19:11:51+00:00,0.0,0.0,,#strengthdevelopment #strengthtraining,covid
79,leelaurie22,So many haters on this thread. New York number way down Trump lead governors fucked up. The world is round. Climate change is real Masks stop the spread of covid-19,2020-06-29 19:08:06+00:00,0.0,0.0,,,covid
80,Jose_Stacks,"As covid was never about young ppls health , but more so old and sickly ppl",2020-06-29 18:59:22+00:00,0.0,0.0,,,covid
81,TriniGold_,My boss required us to get COVID 19 training and this is the most trash training ever,2020-06-29 18:57:48+00:00,0.0,2.0,,,covid
82,NYJ3Mets,"MLB team workouts begin on Friday. Reminder that players and staff reporting to camp are required to undergo an intake screening, which includes a temp check, COVID-19 test, and antibody test. They will report to Citi on Wednesday. ",2020-06-29 18:57:47+00:00,0.0,1.0,,,covid
83,AllIndustry,"On #ep256 (46:40), @sharibayer shares her #outdoor #solodining experience @gabrielstulman’s @JeffreysGrocery in the #westvillage #nyc as part of #restaurant reopenings #phase2 during #covid_19. There was delicious… http://instagram.com/p/CCB04JjjADt/…",2020-06-29 18:55:11+00:00,1.0,1.0,@sharibayer @gabrielstulman @JeffreysGrocery,#ep256 #outdoor #solodining #westvillage #nyc #restaurant #phase2 #covid_19,covid
84,AmBeautifulShow,#coronavirus #COVID #COVID19 #COVIDIOTS #Covid_19 @business @businessinsider @BW @CNMsocal @CNN @CNETNews @CNBCnow,2020-06-29 18:53:47+00:00,0.0,0.0,@business @businessinsider @BW @CNMsocal @CNN @CNETNews @CNBCnow,#coronavirus #COVID #COVID19 #COVIDIOTS #Covid_19,covid
85,AmBeautifulShow,#COVID19 #COVID #coronavirus #COVIDIOTS,2020-06-29 18:51:52+00:00,0.0,0.0,,#COVID19 #COVID #coronavirus #COVIDIOTS,covid
86,lainehiggins17,26 NHL players total have tested positive for COVID-19 ,2020-06-29 18:47:29+00:00,1.0,2.0,,,covid
87,AsapBasile98,HOW IS FACEBOOK PUMPING OFF ALL THIS BAD NEWS ? COVID IS SHUTTING THE ECONOMY AGAIN AND WERE PUMPING,2020-06-29 18:45:19+00:00,0.0,0.0,,,covid
