,User,Text,Date,Favorites,Retweets,Mentions,HashTags,Search Keywords
933,amywilson,Should prob be pointed out that the councilman being incredibly rude to constituents was hand-picked by our mayor and has only been on the job for a few weeks (he’s replacing an elected councilman who died of COVID-19).,2020-05-27 14:21:01+00:00,1.0,10.0,,,covid
934,LetsGoGeo,Covid got the streets of ny real light and easy to drive on I’m here for that,2020-05-27 14:18:54+00:00,0.0,1.0,,,covid
935,meldcole,"Black Boys | May 26, 2020 | Coney Island | #covidstoriesnyc #nyc #newyork #brooklyn #bk #coneyisland #boys #blackboys #coronavirus #covid_19 #covid19 #covid #corona @Coney Island Beach and Boardwalk https://www.instagram.com/p/CAsbtKkHJL8/?igshid=yi01yfmn9qw0",2020-05-27 14:14:12+00:00,0.0,0.0,,#covidstoriesnyc #nyc #newyork #brooklyn #bk #coneyisland #boys #blackboys #coronavirus #covid_19 #covid19 #covid #corona,covid
936,CGillingham,"Seen at a light on the boulevard while on my way for COVID-19 antibody testing. Anyone know the model? I need a piece of nice chrome. #chevrolet #hoodornament #eagle #silive #ny1pic #onthebrightside @Staten Island,… https://www.instagram.com/p/CAsbjK4Bjii/?igshid=j9lspzazpu7q",2020-05-27 14:12:50+00:00,0.0,1.0,,#chevrolet #hoodornament #eagle #silive #ny1pic #onthebrightside,covid
937,gperezchow,"“Segundo Milagro Mexicano”. En un mundo ideal, el gobierno, los empresarios, los trabajadores y académicos estarían ya planeando un rebote económico post-Covid. El precedente post-WWII lo tenemos a la mano. #COVID19",2020-05-27 14:10:32+00:00,0.0,1.0,,#COVID19,covid
938,ShellyMinutillo,Going for my covid antibody test today. I have forgotten how to put my makeup on and what it feels like to wear real shoes as opposed to flip flops. I also forgot how big my boobs are and what a hassle it is to wear a bra. #NewNormal,2020-05-27 14:09:08+00:00,0.0,0.0,,#NewNormal,covid
939,colderthan__ice,Bruh i really beat COVID without even knowing. Wow. Wowwwwwww,2020-05-27 14:07:26+00:00,0.0,1.0,,,covid
940,sabiotrix,They killing more black people than COVID #GeorgeLloyd #BlackLivesMatter,2020-05-27 14:01:28+00:00,0.0,0.0,,#GeorgeLloyd #BlackLivesMatter #BlackLivesMatter,covid
941,k_for_kinga,Missin Rosie Days #todayiswednesday #quarantine #quarantinelife #quarantinethoughts #quarantinetime #rosydaysahead #rosydays #rosie #rosy #covid19 #covid_19 #exhausted #toughtimes #tired #wednesdayvibes… https://www.instagram.com/p/CAsaPyLH5mI/?igshid=1cw0ekvm9c9hp,2020-05-27 14:01:26+00:00,1.0,0.0,,#todayiswednesday #quarantine #quarantinelife #quarantinethoughts #quarantinetime #rosydaysahead #rosydays #rosie #rosy #covid19 #covid_19 #exhausted #toughtimes #tired #wednesdayvibes,covid
942,thechaingang83,Damn covid 19 the xfl was actually worth watching this time around,2020-05-27 13:54:13+00:00,0.0,2.0,,,covid
943,careuhohline,"Covid Testing (@CityMD Lenox Hill in New York, NY) ",2020-05-27 13:37:43+00:00,0.0,0.0,,,covid
944,LevienVincent,Tonight ! Emergency Task Force @BQDiocesePress will be honored with a Billboard in Times Square at 8pm. Donated @Disney To all the HEROs’ of New York. Come join us ! @NYPDnews @FDNYAlerts It’s been an honor of a lifetime help and assist with the COVID 19 Emergency Task Force ,2020-05-27 13:35:38+00:00,1.0,4.0,@BQDiocesePress @Disney @NYPDnews @FDNYAlerts,,covid
945,jdny2,"If you were so fast, then why do we have more people suffering from COVID than the next five countries COMBINED?",2020-05-27 13:34:17+00:00,0.0,1.0,,,covid
946,CELIAMENDOZA25,#AHORA Comunidad internacional se une para recaudar fondos para venezolanos en medio de pandemia de covid-19 @EduardoStein_gt @ACNURamericas @antonioguterres @VOANoticias ,2020-05-27 13:33:52+00:00,8.0,9.0,@EduardoStein_gt @ACNURamericas @antonioguterres @VOANoticias,#AHORA,covid
947,Milmore,You were slow. You golfed and held rallies while Covid spread across the globe,2020-05-27 13:22:39+00:00,0.0,0.0,,,covid
948,jacobkornbluh,"“They act as if COVID just vanished, like magic.” ",2020-05-27 13:20:28+00:00,0.0,9.0,,,covid
949,Robin824,"Absolutely, telling people to socially isolate in order to combat COVID-19 is proving deadly in the U.S. - cabin fever and loneliness is resulting in clinical depression and suicides",2020-05-27 13:19:54+00:00,0.0,0.0,,,covid
950,PeteHarrisonNYC, Evictions + rent burdens were rising before COVID during an econ boom Now 100k are dead + 38M jobs have vanished Temp unemployment or “re-opening” does not solve housing crisis Congress #CancelRent mortgages + utilities NOW,2020-05-27 13:11:01+00:00,3.0,2.0,,#CancelRent,covid
951,ElizardoValdez,MTA ESSENTIAL WORKERS TEE SHIRT PROCEEDS WILL GO TO CHARITY FOR KIDS #COVID #COVID19 #RBandME:https://www.redbubble.com/i/t-shirt/MTA-Transit-Strong-Essential-Workers-by-ElizardoDesigns/49084020.R05UB?asc=u #findyourthing #redbubble,2020-05-27 13:10:56+00:00,0.0,1.0,,#COVID #COVID19 #RBandME #findyourthing #redbubble,covid
